
Code,Source,Category,Description
0x00000000,Win32,General,The operation completed successfully.
0x00000002,Win32,General,The system cannot find the file specified.
0x00000003,Win32,General,The system cannot find the path specified.
0x00000004,Win32,General,The system cannot open the file.
0x00000005,Win32,General,Access is denied.
0x00000006,Win32,General,The handle is invalid.
0x00000008,Win32,General,Not enough storage is available to process this command.
0x00000020,Win32,General,The process cannot access the file because it is being used by another process.
0x00000057,Win32,General,The parameter is incorrect.
0x80004005,Win32,HRESULT,Unspecified error.
0x8000FFFF,Win32,HRESULT,Unexpected error.
0x80070002,Win32,HRESULT,File not found.
0x80070005,Win32,HRESULT,Access denied.
0x80070020,Win32,HRESULT,File in use.
0x80070422,Win32,HRESULT,Service disabled.
0x800705B4,Intune,Autopilot,Timeout during autopilot preparation.
0x80073CF0,Windows,Packaging,The package is unsigned or publisher name does not match the signing certificate; package could not be opened.
0x80073CF3,Windows,Packaging,Incoming package conflicts with an installed package or missing dependency; unsupported architecture.
0x80073CFB,Windows,Packaging,Provided package is already installed; reinstallation blocked.
0x80073CFF,Windows,Packaging,Deployment failed because no valid license or sideloading policy; sideloading or developer license required.
0x801C03EA,Entra,Autopilot,Autopilot self-deploying mode TPM attestation failed causing failure to join Entra ID.
0x80CF201C,Intune,Packaging,To install this app you must have a sideloading-enabled system or AllowAllTrustedApps policy.
0x8A150004,AppInstall,Winget,Opening manifest failed
0x8A150005,AppInstall,Winget,Cancellation signal received
0x8A150006,AppInstall,Winget,Running ShellExecute failed
0x8A150007,AppInstall,Winget,Cannot process manifest. The manifest version is higher than supported. Please update the client.
0x8A150008,AppInstall,Winget,Downloading installer failed
0x8A150009,AppInstall,Winget,Cannot write to index; it is a higher schema version
0x8A15000A,AppInstall,Winget,The index is corrupt
0x8A15000B,AppInstall,Winget,The configured source information is corrupt
0x8A15000C,AppInstall,Winget,The source name is already configured
0x8A15000D,AppInstall,Winget,The source type is invalid
0x8A15000E,AppInstall,Winget,The MSIX file is a bundle, not a package
0x8A15000F,AppInstall,Winget,Data required by the source is missing
0x8A150011,AppInstall,Winget,The installer file's hash does not match the manifest
0x8A150012,AppInstall,Winget,The source name does not exist
0x8A150013,AppInstall,Winget,The source location is already configured under another name
0x8A150014,AppInstall,Winget,No packages found
0x8A150015,AppInstall,Winget,No sources are configured
0x8A150016,AppInstall,Winget,Multiple packages found matching the criteria
0x8A150017,AppInstall,Winget,No manifest found matching the criteria
0x8A150018,AppInstall,Winget,Failed to get Public folder from source package
0x8A150019,AppInstall,Winget,Command requires administrator privileges to run
0x8A15001A,AppInstall,Winget,The source location is not secure
0x8A15001B,AppInstall,Winget,The Microsoft Store client is blocked by policy
0x8A15001C,AppInstall,Winget,The Microsoft Store app is blocked by policy
0x8A15001D,AppInstall,Winget,The feature is currently under development. It can be enabled using winget settings.
0x8A15001E,AppInstall,Winget,Failed to install the Microsoft Store app
0x8A15001F,AppInstall,Winget,Failed to perform auto complete
0x8A150020,AppInstall,Winget,Failed to initialize YAML parser
0x8A150021,AppInstall,Winget,Encountered an invalid YAML key
0x8A150022,AppInstall,Winget,Encountered a duplicate YAML key
0x8A150023,AppInstall,Winget,Invalid YAML operation
0x8A150024,AppInstall,Winget,Failed to build YAML doc
0x8A150025,AppInstall,Winget,Invalid YAML emitter state
0x8A150026,AppInstall,Winget,Invalid YAML data
0x8A150027,AppInstall,Winget,LibYAML error
0x8A150028,AppInstall,Winget,Manifest validation succeeded with warning
0x8A150029,AppInstall,Winget,Manifest validation failed
0x8A15002A,AppInstall,Winget,Manifest is invalid
0x8A15002B,AppInstall,Winget,No applicable update found
0x8A15002C,AppInstall,Winget,winget upgrade --all completed with failures
0x8A15002D,AppInstall,Winget,Installer failed security check
0x8A15002E,AppInstall,Winget,Download size does not match expected content length
0x8A15002F,AppInstall,Winget,Uninstall command not found
0x8A150030,AppInstall,Winget,Running uninstall command failed
0x8A150031,AppInstall,Winget,ICU break iterator error
0x8A150032,AppInstall,Winget,ICU casemap error
0x8A150033,AppInstall,Winget,ICU regex error
